PID,Cond,Ch,HbO_beta,HbR_beta
KB,right,S8-D5,2.31571505172926e-06,-7.51137970805693e-06
KB,right,S6-D5,-1.67950669199425e-05,3.66951968167729e-06
KB,right,S7-D5,4.27197033457481e-19,7.34095220953727e-21
KB,right,S9-D6,-1.24304945066452e-05,4.0513145474555e-06
KB,right,S8-D6,-1.38843734745163e-05,-6.4803814920849e-06
KB,right,S6-D6,-1.04168857613604e-06,6.07615013250232e-06
KB,right,S10-D7,-5.82325028641656e-06,1.47968994091319e-06
KB,right,S9-D7,-5.80292099275217e-06,5.94186938692356e-06
KB,right,S8-D7,3.60841427648327e-06,5.96048146563174e-06
KB,right,S10-D8,-3.38647458557159e-06,6.15433250832466e-06
KB,right,S9-D8,2.22148325740614e-06,5.78739345529741e-06
KK,left,S1-D1,-6.33308774186556e-05,3.25518958297142e-05
KK,left,S3-D1,-0.000102840316480507,3.79184676711939e-05
KK,left,S2-D1,-7.04247393288575e-20,-1.09337836274743e-19
KK,left,S1-D2,-5.2751846086282e-05,2.01644125157075e-05
KK,left,S3-D2,-6.76116433680463e-05,4.69390864400922e-05
KK,left,S4-D2,-3.02800301799914e-05,4.29670593536195e-06
KK,left,S4-D3,4.95958374481092e-06,-9.07864953286926e-06
KK,left,S5-D3,7.71638459488258e-08,3.09710965573202e-06
KK,left,S3-D4,-4.66326690298831e-05,3.76708763404523e-05
KK,left,S4-D4,5.79043786283909e-07,-6.17059980661234e-06
KK,left,S5-D4,-6.25923836943324e-08,4.85677141018882e-06
KK,left,S8-D5,-3.52833391569574e-05,2.88226199321786e-05
KK,left,S6-D5,-1.82233061839933e-05,1.7066830096375e-05
KK,left,S7-D5,1.09963027259621e-20,-1.16971216525594e-20
KK,left,S9-D6,-9.66080112862375e-06,6.73931869862842e-07
KK,left,S8-D6,-1.44969129329753e-05,4.25274040673609e-05
KK,left,S6-D6,-7.78754700946447e-06,1.33064927660599e-05
KK,left,S10-D7,-1.40636957858678e-05,8.20285047746404e-06
KK,left,S9-D7,-2.1777191171358e-05,3.07919329522912e-06
KK,left,S8-D7,-2.90042121219217e-05,7.51530269338466e-05
KK,left,S10-D8,-1.08219998806397e-05,1.83141273181026e-06
KK,left,S9-D8,8.58984370032645e-06,-7.09755286091723e-06
KK,right,S1-D1,-6.36051837246981e-05,1.41836007053388e-05
KK,right,S3-D1,-9.33584035535346e-05,3.3779649009318e-05
KK,right,S2-D1,-2.21357943549124e-19,-2.50641082582773e-19
KK,right,S1-D2,-5.07284950434583e-05,1.56001727703254e-05
KK,right,S3-D2,-6.59594771882664e-05,3.55051537344688e-05
KK,right,S4-D2,-3.85110322993397e-05,4.96095074498538e-06
KK,right,S4-D3,-1.12336779532742e-05,-8.2672223833961e-06
KK,right,S5-D3,-1.01251820821184e-06,6.50973635823756e-06
KK,right,S3-D4,-3.5243484769364e-05,2.87088349675268e-05
KK,right,S4-D4,-1.30811266257106e-05,-3.31973928005686e-06
KK,right,S5-D4,-2.12134269900764e-06,9.65795470552046e-06
KK,right,S8-D5,-2.08230297687158e-05,2.51564642358369e-05
KK,right,S6-D5,-1.37032336131392e-05,1.42873992050235e-05
KK,right,S7-D5,-7.76446868316442e-22,-8.8434273183574e-21
KK,right,S9-D6,-2.0004406781997e-05,-2.27587675136692e-06
KK,right,S8-D6,-1.04568145185591e-05,3.31737168901597e-05
KK,right,S6-D6,2.54754927573626e-06,1.26397303924607e-05
KK,right,S10-D7,-2.16662599687824e-05,7.653090572121e-06
KK,right,S9-D7,-2.78112666024252e-05,3.48640001777853e-06
KK,right,S8-D7,-1.59139596254281e-05,6.38121460183813e-05
KK,right,S10-D8,-1.76737696776052e-05,-3.95895487041264e-07
KK,right,S9-D8,-5.61751071441516e-06,-6.06860611653476e-06
KK,left,S1-D1,-1.79380963440156e-05,-1.17182524619829e-05
KK,left,S3-D1,-9.32321999323083e-05,-2.08793151217756e-05
KK,left,S2-D1,-1.67793193360852e-20,-2.32893725592682e-19
KK,left,S1-D2,4.75422590177573e-05,1.44559667587271e-05
KK,left,S3-D2,-7.4488097986739e-06,2.1587023990999e-05
KK,left,S4-D2,8.03484181443826e-07,-4.3085327190952e-06
KK,left,S4-D3,-5.92937966509918e-05,5.87579480765826e-06
KK,left,S5-D3,-5.15586712118657e-05,7.9837391197371e-06
KK,left,S3-D4,-4.55400868833376e-05,-1.80984809388304e-05
KK,left,S4-D4,-1.45909337355513e-07,-1.05231931199659e-05
KK,left,S5-D4,-9.19991245488252e-06,-4.02734460170227e-06
KK,left,S8-D5,-3.55888952402557e-05,-9.79856277245246e-06
KK,left,S6-D5,-1.96080044560047e-05,-7.76682430667029e-07
KK,left,S7-D5,-3.63740148492347e-19,1.26107071885265e-19
KK,left,S9-D6,5.23386265630469e-07,6.81302540034086e-06
KK,left,S8-D6,-7.16358386396208e-05,2.83846630751527e-05
KK,left,S6-D6,2.29836563115817e-06,-3.91839057981981e-06
