PID,Cond,Ch,HbO_beta,HbR_beta
KK,left,S8-D5,-6.27176389172199e-05,-2.18859388644502e-05
KK,left,S6-D5,-2.77632857225844e-05,-1.11126844187674e-05
KK,left,S7-D5,1.11660118271798e-18,4.10983032985747e-20
KK,left,S9-D6,4.99815195552495e-06,9.08477997014141e-06
KK,left,S8-D6,-0.000128015184458654,4.12088758680801e-05
KK,left,S6-D6,2.88519205175029e-06,-1.13334176395055e-05
KK,left,S10-D7,-9.52286974048826e-05,1.34517803415743e-05
KK,left,S9-D7,-3.0643064509977e-05,-7.1042181542796e-06
KK,left,S8-D7,-0.000152631427862775,-3.38701090478918e-06
KK,left,S10-D8,-7.71440293095161e-05,4.51956652378481e-05
