PID,Cond,Ch,HbO_beta,HbR_beta
EM,left,S4-D3,-1.69108894024172e-05,-2.67428622860766e-06
EM,left,S5-D3,-2.32055523797063e-06,1.71358354922543e-06
EM,left,S3-D4,-2.75671330804699e-05,-2.51736764792184e-06
EM,left,S4-D4,-1.96992009041897e-05,-3.87840225613911e-06
EM,left,S5-D4,-1.16324030275699e-05,1.6663642221294e-06
EM,left,S8-D5,0,0
EM,left,S6-D5,-6.64560406599351e-05,2.50786455701262e-06
EM,left,S7-D5,2.89431526046753e-20,-1.90993053375643e-20
EM,left,S9-D6,-3.33509428989175e-05,6.03182620905977e-06
EM,left,S8-D6,-8.76632294189635e-05,-1.39226963934608e-05
EM,left,S6-D6,-5.46467320269353e-05,2.4419850206855e-06
EM,left,S10-D7,-1.77350154036998e-05,-2.81182543179644e-06
EM,left,S9-D7,-3.9776773127903e-05,-3.29499295108073e-07
EM,left,S8-D7,-1.66828472788581e-05,-2.99592526847499e-06
EM,left,S10-D8,-2.67310321336971e-06,-2.64944071779976e-07
EM,left,S9-D8,-1.19341330363221e-05,9.88389364238467e-07
EM,right,S1-D1,-2.18215811493978e-05,2.13023377251673e-06
EM,right,S3-D1,-1.82559032881383e-06,8.56223648067885e-06
EM,right,S2-D1,-1.55229982989623e-20,-1.06980496657709e-20
EM,right,S1-D2,-1.61249983986121e-05,4.52599916019328e-06
EM,right,S3-D2,-2.43046236722902e-05,1.4860364182663e-05
EM,right,S4-D2,-5.72254086343438e-06,5.55279338440288e-07
EM,right,S4-D3,-6.93932644122376e-08,-3.73923385161357e-06
EM,right,S5-D3,1.73967132696511e-05,-2.41230478235027e-06
EM,right,S3-D4,-1.47168648521099e-05,6.4604594823752e-06
EM,right,S4-D4,-1.62948138369622e-05,-1.59168096113887e-06
EM,right,S5-D4,1.97807858144478e-05,-1.18413454083421e-06
EM,right,S8-D5,0,0
EM,right,S6-D5,5.63948773327264e-05,1.84845676779104e-05
EM,right,S7-D5,-2.09973744052409e-20,-2.27225211674157e-20
EM,right,S9-D6,-9.58050890977708e-06,1.72766170989909e-06
EM,right,S8-D6,7.60821655776609e-05,1.86877800651416e-05
EM,right,S6-D6,4.28410967038174e-05,1.36868401717447e-05
EM,right,S10-D7,1.46357215449241e-05,-1.99916261975972e-06
EM,right,S9-D7,2.19720935138853e-07,1.62637012122051e-06
EM,right,S8-D7,6.28224752449074e-05,8.67119241509222e-06
EM,right,S10-D8,1.30874306978388e-05,-2.72079646639213e-08
EM,right,S9-D8,7.50981577641261e-06,-1.26046480574529e-07
HS,left,S1-D1,2.79656983718363e-06,-2.74565632358243e-06
HS,left,S3-D1,0,0
HS,left,S2-D1,-4.26735864257917e-21,-2.01695475388318e-21
HS,left,S1-D2,6.60748530270843e-06,-3.49811684114211e-06
