PID,Cond,Ch,HbO_beta,HbR_beta
EM,right,S1-D2,-7.78623412658903e-06,2.3511196252955e-08
EM,right,S3-D2,3.57792946800442e-05,1.6472259995204e-05
EM,right,S4-D2,2.64883544705388e-05,2.38224492879549e-06
EM,right,S4-D3,5.96460791096297e-06,-8.13702699829299e-06
EM,right,S5-D3,1.7336344360436e-05,-1.1854346201107e-05
EM,right,S3-D4,5.08937625919687e-05,1.47618197173366e-05
EM,right,S4-D4,2.04880531416291e-05,-8.26013802005548e-06
EM,right,S5-D4,5.46578080149114e-06,-2.21347365671993e-06
EM,right,S8-D5,0,0
EM,right,S6-D5,-9.15635117935452e-06,1.11177326885227e-05
EM,right,S7-D5,7.50019383685859e-20,3.3331848897766e-22
EM,right,S9-D6,8.71218269428131e-06,1.28090875724223e-05
EM,right,S8-D6,-0.000104264292607411,-5.16728704591441e-06
EM,right,S6-D6,-0.000119833219943199,2.76636819771688e-05
EM,right,S10-D7,2.08015757166151e-05,2.00333163252261e-06
EM,right,S9-D7,4.87140809280815e-05,6.89442285006663e-06
EM,right,S8-D7,9.94146384223489e-06,1.20006539190999e-05
EM,right,S10-D8,3.69141286180617e-05,-2.33403147233535e-05
EM,right,S9-D8,-2.75888538717086e-05,-1.92573717187366e-07
HS,left,S1-D1,-8.91943036982318e-07,5.39752972036882e-07
HS,left,S3-D1,0,0
HS,left,S2-D1,-1.25712869017182e-21,1.23693964842958e-21
HS,left,S1-D2,9.55208957146153e-06,-2.27586749940223e-06
HS,left,S3-D2,8.61846049547888e-07,-2.213870045152e-06
HS,left,S4-D2,9.12439794826915e-06,-1.11373228699869e-06
HS,left,S4-D3,1.30108483595658e-05,-7.35826963801882e-07
HS,left,S5-D3,3.91115733577091e-06,-2.22333591594992e-06
HS,left,S3-D4,-2.74991906985039e-06,-1.81839090249743e-07
HS,left,S4-D4,1.01360500740322e-05,6.3974793381376e-07
HS,left,S5-D4,4.05074025637972e-06,-2.49445443829331e-06
HS,left,S8-D5,2.07880801715043e-06,-6.059702299681e-06
HS,left,S6-D5,-9.16998842121907e-07,-4.86240598526116e-06
HS,left,S7-D5,5.37789297381538e-21,-2.61568739609316e-21
HS,left,S9-D6,1.40661399730349e-05,5.00405449051944e-07
HS,left,S8-D6,-1.62040073675521e-06,-2.90323112683284e-06
HS,left,S6-D6,4.42352253199334e-06,-6.32222219881633e-07
HS,left,S10-D7,-4.9162972879457e-06,1.40997441693674e-06
HS,left,S9-D7,2.09772076217597e-06,2.53779382397664e-06
HS,left,S8-D7,2.02950049793996e-06,-2.38814831847139e-06
HS,left,S10-D8,7.18026249455072e-07,2.56994740495014e-06
HS,left,S9-D8,1.43972892804276e-05,3.58778249020051e-06
HS,right,S1-D1,3.03197954976934e-06,3.80528931785974e-06
HS,right,S3-D1,0,0
HS,right,S2-D1,4.97205022260717e-21,4.26562758983512e-22
HS,right,S1-D2,1.18706296382671e-05,-3.6847452831479e-06
HS,right,S3-D2,-1.3867588885902e-06,-1.8582983361262e-06
HS,right,S4-D2,1.01492255909912e-05,-8.45606860530759e-07
HS,right,S4-D3,1.72923669202146e-05,-1.84366483562817e-06
HS,right,S5-D3,7.01151064774338e-06,7.99197674099537e-07
HS,right,S3-D4,4.48920568147099e-07,2.61938628030799e-07
HS,right,S4-D4,1.38971991328451e-05,-1.03320719126331e-06
HS,right,S5-D4,5.75412033182646e-06,-1.37666077811031e-06
HS,right,S8-D5,3.25482356893129e-06,-6.60380130387671e-06
HS,right,S6-D5,1.08882406232229e-06,-8.73136583847704e-06
HS,right,S7-D5,1.56338399098211e-21,-2.46583319440619e-21
HS,right,S9-D6,1.77943169225471e-05,-1.03859045391114e-06
HS,right,S8-D6,5.16394016117676e-06,-6.26644528317707e-08
HS,right,S6-D6,7.00434010306174e-06,-6.41925545256943e-07
HS,right,S10-D7,-5.15575145811366e-06,7.31825905840376e-08
HS,right,S9-D7,7.71477556813886e-06,1.89537189487316e-06
HS,right,S8-D7,8.99079859533821e-06,1.09798481291781e-06
HS,right,S10-D8,2.91707298480435e-08,1.29527122659058e-06
HS,right,S9-D8,1.97201740246883e-05,3.85856305168203e-06
JP,left,S1-D1,-2.69571186947334e-05,3.68109155507148e-06
JP,left,S3-D1,-9.5744183393821e-06,6.70767799734838e-07
JP,left,S2-D1,-2.11439031652116e-20,5.61033748166227e-21
JP,left,S1-D2,-2.93613390020172e-05,2.6950029573285e-06
JP,left,S3-D2,-1.23571973708497e-06,2.10101315580255e-06
JP,left,S4-D2,-3.19350515634545e-05,-1.03326378148891e-07
JP,left,S4-D3,-1.94087020392752e-05,2.74018699052475e-06
JP,left,S5-D3,-3.67787241512885e-05,8.07983327261704e-07
JP,left,S3-D4,-2.7077738389651e-06,2.23114508253386e-06
JP,left,S4-D4,5.15719158124332e-06,-4.21157291699979e-06
JP,left,S5-D4,-1.93153915539612e-05,-4.50934755211585e-07
JP,left,S8-D5,-3.26750022020393e-05,-2.76358289799285e-06
JP,left,S6-D5,-3.01229231708568e-05,7.22326619840845e-06
JP,left,S7-D5,-1.00691935298027e-20,1.55598687423059e-20
JP,left,S9-D6,-3.20163847827501e-05,1.42268640561819e-06
JP,left,S8-D6,-3.19054810689051e-05,1.99928395053047e-06
JP,left,S6-D6,-2.71622653266551e-05,4.78098376818451e-07
JP,left,S10-D7,-6.20395947496793e-05,-1.46153026767735e-06
JP,left,S9-D7,-3.38311601306102e-05,-1.49794486890442e-06
JP,left,S8-D7,-3.95641042388832e-05,5.6652679183747e-06
JP,left,S10-D8,-4.458029165479e-05,-2.13870355504421e-06
JP,left,S9-D8,-4.32960781876226e-05,-2.43053109701555e-06
JP,right,S1-D1,-1.66268114358029e-05,-2.29547215864225e-06
JP,right,S3-D1,-1.08014219520705e-05,-3.87216443322224e-06
JP,right,S2-D1,-1.15192669586208e-20,3.68420325545727e-21
JP,right,S1-D2,-1.24478672595287e-05,-1.30445627075112e-06
JP,right,S3-D2,2.46680332150773e-06,-1.23630528587302e-05
JP,right,S4-D2,-1.67342957563481e-05,-1.03367692040325e-06
JP,right,S4-D3,-3.91977154120341e-06,1.0292728434296e-06
JP,right,S5-D3,-1.99825210703246e-05,1.37377121649703e-07
JP,right,S3-D4,6.67169225372143e-06,-1.29767082150336e-06
JP,right,S4-D4,1.21120946928727e-05,-4.38910561918645e-06
JP,right,S5-D4,-3.53226801344826e-06,-5.1502062104501e-06
JP,right,S8-D5,-2.35721252961308e-05,-3.94987983872622e-06
JP,right,S6-D5,-2.45446826116508e-05,1.53479111667183e-06
JP,right,S7-D5,-1.11557868861768e-20,9.38169631242509e-21
JP,right,S9-D6,-2.59652510415765e-05,-1.45105660096147e-06
JP,right,S8-D6,-3.03730041057818e-05,-1.01267418549269e-05
JP,right,S6-D6,-1.68521494655349e-05,-2.87805576421334e-06
JP,right,S10-D7,-4.45840252671997e-05,-4.93808665477037e-06
JP,right,S9-D7,-2.69505991061714e-05,-5.9107503237503e-06
JP,right,S8-D7,-1.83251528907843e-05,4.24566165129107e-07
JP,right,S10-D8,-1.5637584907508e-05,-2.5355879920031e-06
JP,right,S9-D8,-2.01784973740085e-05,-3.54348812665526e-06
KB,left,S1-D1,-1.32510146790615e-07,6.4424709453741e-07
KB,left,S3-D1,-5.67189991916465e-06,-1.93443345116807e-06
KB,left,S2-D1,7.22376868616645e-22,2.54252607566319e-22
KB,left,S1-D2,-6.29130198209792e-06,3.11980649451195e-07
KB,left,S3-D2,-7.05382089656775e-06,2.03445832386483e-06
KB,left,S4-D2,-4.29862849273776e-08,-2.06657158466341e-06
KB,left,S4-D3,-1.68820030322621e-06,-5.084961196609e-07
KB,left,S5-D3,-3.79006173661021e-06,1.84198234764332e-06
